date,open,high,low,close,volume,ticker
2021-08-24,217.529999,219.589996,215.350006,217.929993,29729900,NVDA
2021-08-24,64.839996,65.059998,63.919998,63.98,6133900,TWTR
2021-08-25,217.369995,224.699997,217.220001,222.130005,34770100,NVDA
2021-08-25,63.950001,64.309998,63.200001,64.169998,5470200,TWTR
2021-08-26,222.0,223.399994,217.899994,220.679993,23794000,NVDA
2021-08-26,63.959999,64.25,62.529999,62.610001,6379500,TWTR
2021-08-27,221.839996,227.220001,221.669998,226.360001,30472200,NVDA
2021-08-27,62.720001,63.720001,62.490002,63.43,6332600,TWTR
2021-08-30,228.300003,230.429993,225.509995,226.880005,26258000,NVDA
2021-08-30,63.700001,65.050003,63.450001,64.699997,8071900,TWTR
2021-08-31,226.949997,226.949997,221.199997,223.850006,25985000,NVDA
2021-08-31,64.519997,65.150002,64.160004,64.5,9157900,TWTR
2021-09-01,224.850006,226.970001,223.570007,224.410004,20176700,NVDA
2021-09-01,64.650002,66.720001,64.650002,65.550003,15284300,TWTR
2021-09-02,225.179993,225.929993,222.949997,223.960007,18783400,NVDA
2021-09-02,65.970001,66.050003,64.410004,64.599998,8589700,TWTR
2021-09-03,223.25,229.860001,222.0,228.429993,28053200,NVDA
2021-09-03,64.43,65.089996,63.849998,64.660004,5060100,TWTR
2021-09-07,228.330002,228.990005,225.220001,226.619995,19810700,NVDA
2021-09-07,64.709999,65.129997,64.150002,64.980003,7149400,TWTR
2021-09-08,225.130005,226.100006,219.770004,223.389999,25443400,NVDA
2021-09-08,64.940002,65.360001,62.080002,62.27,11767200,TWTR
2021-09-09,223.119995,225.380005,221.309998,221.770004,19685600,NVDA
2021-09-09,62.360001,63.18,62.240002,62.459999,8168900,TWTR
2021-09-10,223.479996,226.259995,222.699997,224.779999,24837600,NVDA
2021-09-10,62.950001,63.369999,61.470001,61.560001,7032100,TWTR
2021-09-13,226.839996,229.639999,218.580002,221.520004,29750000,NVDA
2021-09-13,61.299999,61.41,58.450001,59.66,16851600,TWTR
2021-09-14,222.75,224.100006,220.860001,222.419998,19975500,NVDA
2021-09-14,60.07,60.700001,59.490002,60.189999,8240100,TWTR
2021-09-15,223.089996,223.669998,219.660004,223.410004,16653800,NVDA
2021-09-15,60.099998,61.91,59.639999,61.84,13074500,TWTR
2021-09-16,221.830002,222.770004,219.270004,222.419998,15603300,NVDA
2021-09-16,61.529999,62.610001,60.93,62.290001,9918700,TWTR
2021-09-17,223.0,223.210007,218.300003,219.0,29450300,NVDA
2021-09-17,62.099998,62.98,61.650002,62.470001,9810600,TWTR
2021-09-20,211.460007,214.330002,206.619995,211.130005,34944000,NVDA
2021-09-20,61.150002,61.32,59.84,60.950001,12194300,TWTR
2021-09-21,214.169998,214.25,209.5,212.460007,20468800,NVDA
2021-09-21,61.509998,63.299999,61.509998,62.779999,10400300,TWTR
2021-09-22,213.660004,219.600006,211.960007,219.410004,26872600,NVDA
2021-09-22,62.049999,64.629997,61.259998,64.25,13052300,TWTR
2021-09-23,221.399994,225.350006,218.899994,224.820007,24855500,NVDA
2021-09-23,64.790001,66.93,64.040001,66.690002,15123500,TWTR
2021-09-24,220.699997,221.490005,218.610001,220.809998,21765500,NVDA
2021-09-24,66.089996,67.449997,65.459999,67.220001,11035700,TWTR
2021-09-27,217.100006,217.990005,213.25,216.600006,24521500,NVDA
2021-09-27,66.610001,67.089996,65.220001,65.370003,11264900,TWTR
2021-09-28,212.139999,214.190002,206.509995,206.990005,34306900,NVDA
2021-09-28,64.360001,64.540001,62.16,62.450001,9866600,TWTR
2021-09-29,209.399994,210.169998,204.669998,205.169998,21839400,NVDA
2021-09-29,62.939999,63.360001,60.009998,60.07,9256100,TWTR
2021-09-30,207.679993,210.660004,206.880005,207.160004,22100900,NVDA
2021-09-30,60.380001,61.23,59.860001,60.389999,9372600,TWTR
2021-10-01,207.5,208.589996,202.029999,207.419998,24097800,NVDA
2021-10-01,60.810001,62.139999,60.560001,61.98,9728400,TWTR
2021-10-04,205.039993,205.419998,195.550003,197.320007,34563500,NVDA
2021-10-04,61.040001,61.16,57.639999,58.389999,17381300,TWTR
2021-10-05,199.5,206.479996,198.539993,204.509995,27928200,NVDA
2021-10-05,59.209999,60.669998,58.82,59.860001,12006500,TWTR
2021-10-06,201.199997,207.199997,200.800003,207.0,29720200,NVDA
2021-10-06,58.950001,61.709999,58.790001,61.290001,10648100,TWTR
2021-10-07,210.919998,213.220001,209.720001,210.75,25691900,NVDA
2021-10-07,62.200001,64.360001,62.150002,63.970001,15010400,TWTR
2021-10-08,211.009995,212.059998,207.75,208.309998,15125800,NVDA
2021-10-08,64.25,64.339996,63.310001,63.68,8098800,TWTR
2021-10-11,205.75,210.630005,205.110001,206.949997,16338800,NVDA
2021-10-11,62.990002,63.509998,62.07,62.099998,9020400,TWTR
2021-10-12,208.279999,210.570007,205.279999,206.710007,16213400,NVDA
2021-10-12,61.68,62.799999,60.790001,61.450001,9952100,TWTR
2021-10-13,209.179993,209.899994,207.130005,209.389999,18065200,NVDA
2021-10-13,61.959999,62.740002,61.509998,62.200001,9423500,TWTR
2021-10-14,212.880005,217.550003,211.220001,217.460007,24358900,NVDA
